id,name,original_name,overview,first_air_date,original_language,origin_country,popularity,vote_average,vote_count,genre_ids,poster_path,backdrop_path
64770,감자별 2013QR3,감자별 2013QR3,2013년 어느 날 의문의 행성 '감자별'이 지구로 날아오고 이 때문에 벌어지는 노씨 일가의 좌충우돌 멘붕 스토리를 담은 일일시트콤.,2013-09-23,ko,KR,41.1267,7,2,"35,18,10751,10749,10765",/8HLs1vyor0iHcKKHosrtxWfG8LL.jpg,/6h8T2K0a5smf7x5KzYpqDcAcw3d.jpg
18495,논스톱,논스톱,문화 대학교의 밴드 동아리인 논스톱 밴드를 주무대로 펼쳐지는 대학생들의 사랑과 우정을 담은 청춘 시트콤 프로그램,2000-05-15,ko,KR,76.9287,4.4,5,"18,35",/elXJzhz1dM0lO7fK2BfO2pVtC7l.jpg,/6HBi1vfb70PfeTx78BKv2md42mm.jpg
129121,아현동 마님,아현동 마님,"검찰청 검사들의 힘겹지만 정의로운 싸움과 온갖 인간 군상들과의 만남 속에서 벌어지는 그들의 인간적인 모습, 사랑을 통해 진정한 정의에 대해 생각해보자는 취지의 드라마",2007-07-16,ko,,52.5022,0,0,10751,/akzWuAsfF1XeH4XXkxt3MMNqYBa.jpg,/szYLHTlAL8tymBPS5xal6jswpCh.jpg
66046,미스터리 음악쇼 복면가왕,미스터리 음악쇼 복면가왕,"마스크를 쓰고 정체를 공개하지 않은채 무대에서 노래 실력을 뽐내는 음악 버라이어티 프로그램. 가수에게 계급장은 곧 인기다. 내가 좋아하는 가수의 노래는 더 좋게 들린다. 곡이 유명가수를 만나야 인기를 얻게 되는 이유도 바로 여기에 있다. 하지만 만약 인기라는 계급장을 떼고 진정한 노래 실력으로만 최고의 가수를 뽑는다면 누가 될까? 본 프로그램은 이러한 궁금증에서 시작되었다. 인기라는 편견을 버리고 진정성 있는 노래로 자신을 어필할 수 있는, 가수가 진정한 가수로 자리할 수 있는 무대. 바로 '복면가왕'이 희망하는 무대다. 그리고 이러한 '복면가왕'의 기본 정신은 시청자들에게도 목말라있던 진정성을 불러올 것이다. 우리가 잊고 있던, 우리가 미처 인정하지 못한 보컬리스트들의 대결이 시작된다.",2015-04-05,ko,KR,74.8383,5.2,10,10764,/tEqL1b5NOhGUJgV62tyb6Q2gQtI.jpg,/xDXaptzkHFHGyQ2QGZ3aGnEE1dK.jpg
52910,김병만의 정글의 법칙,김병만의 정글의 법칙,세계의 곳곳에 존재하는 야생을 배경으로 생존을 펼치는 생존 버라이어티 프로그램,2011-10-21,ko,KR,60.6684,5.1,7,10764,/ydCfRALiluGqMsB4QSUo7j56I8y.jpg,/sgE2evtpaP5b9tavrgYCy2nKYLT.jpg
195488,리무진서비스,리무진서비스,,2022-02-22,ko,KR,68.1514,0,0,10767,/cistQvjLCsf5e7nL1bnkph6iqh0.jpg,/1ILCjGbAW6JBBRoX5sVAmC7YCYI.jpg
35024,쇼! 음악중심,쇼! 음악중심,,2005-10-29,ko,KR,39.7618,7,1,10764,/nEDZnlxvRN6n09ltAnKj9unckCe.jpg,/c1FQPgXZjQ1AmX2v0v3W59PjwKT.jpg
132544,"위대한 수업, 그레이트 마인즈","위대한 수업, 그레이트 마인즈","2021년 8월 EBS에서 방영을 시작한 시사 교양 프로그램. 교육부, 국가평생교육진흥원과 EBS가 공동 기획한 이번 강연은 한국형 온라인 공개강좌(K-MOOC) 사업의 하나로, 코로나19 장기화에 계층간 지식 격차가 심화하고 소셜미디어를 통해 가짜 정보가 쏟아지는 가운데, 세계 최고 수준의 지식을 대중적으로 보급하자는 취지로 기획됐다. 노벨 경제학상에 빛나는 폴 크루그먼, 정의란 무엇인가의 마이클 샌델, 세계적 지휘자 겸 피아니스트 다니엘 바렌보임 등 지금 현재 세계를 이끌고 있는 지성들의 위대한 생각을 듣는다.",2021-08-30,ko,KR,59.9172,5.2,17,"10767,99",/lj46PSaBziqCqbGXlmnXN325biA.jpg,/qZ7CdO7rkH0KyCxvZBoP4Mm2cQL.jpg
77290,코미디빅리그,코미디빅리그,대한민국 웃음의 대세 '코미디빅리그' 대세 '코미디언'들의 웃음 사냥을 위한 치열한 코너 경쟁을 치르는 개그 프로그램,2011-09-17,ko,KR,59.1084,0,0,35,/cDVfraJA0rh7fHEQmkvg3ZvrBlJ.jpg,/iYJybW2JHqCOEPuMS1rnwMhbmc0.jpg
99966,지금 우리 학교는,지금 우리 학교는,좀비 바이러스 발생의 시발점이 된 고등학교. 이곳에 갇힌 학생들은 필사적으로 탈출구를 찾아야만 한다. 그렇지 않으면 감염되어 좀비가 될 뿐.,2022-01-28,ko,KR,58.5737,8.285,4083,"10759,18,10765",/d9yefq8dNke4UbuqStBtUcO9TxD.jpg,/q74hFjNMjlA4Fj8mYA42X9lOvLV.jpg
7677,우리 결혼했어요,우리 결혼했어요,가상 결혼 생활을 통해 연애와 결혼에 관한 고민과 해답을 찾아가는 과정을 진솔한 이야기로 풀어나가는 프로그램,2008-03-16,ko,KR,65.8917,5.643,14,10764,/mRibuyUmOttydFuuiW3rmKhkldz.jpg,/fVvVv6MrtR1yYFmFErgkn0CkqY.jpg
79667,백종원의 골목식당,백종원의 골목식당,"모든 식당은 나름의 걱정과 문제를 갖고 있는 법! 천 개의 가게가 있다면, 천 개의 상황이 있다. 요식업 대선배 백종원 대표가 각 식당의 문제 케이스를 찾아내고 해결 방안을 제시 식당을 시작하는 사람들에게 ‘교본’이 되어줄 프로그램",2018-01-05,ko,KR,60.591,7,4,10764,/rN9O5kZ9ChzRpYXlCFfXThPFiMd.jpg,/t7neSudGv5c0NSrO4R5OIABTM6C.jpg
29161,이제 사랑은 끝났다,이제 사랑은 끝났다,,2006-01-31,ko,KR,43.0789,0,0,18,/nInxqRLK7mcx9xWu1DMJ1QAB2NT.jpg,
17039,태조 왕건,태조 왕건,고려를 건국한 왕건의 이야기를 다룬 드라마,2000-04-01,ko,KR,50.438,3.2,4,"10768,18",/65MbbOoGKkbwgMJD3QufjUr4O22.jpg,/q3N4r8UDu54x57xi8pcXfHiaQD0.jpg
198244,아내와 여자,아내와 여자,불륜을 저지르는 부부가 중심이지만 그들은 정작 이혼을 하지 않는 당사자들의 심리를 묘사한다.,2008-10-20,ko,KR,43.7284,0,0,18,/7XRk4LsxWuwGUythJV7ue7EtdzE.jpg,
128827,한글용사 아이야,한글용사 아이야,"우리 주변에 숨어 있던 글자를 발견하고 각자만의 능력으로 한글 카드를 획득해서, 하나둘 모인 한글 카드를 뭐든지 자판기에 넣으면 특별한 선물이 나오는 한글 교육 프로그램",2021-04-28,ko,KR,51.6522,0,0,10762,/7ME2T3YcTwU3W9UEJcc30n52M8S.jpg,/5pAc9bOB1Gg0c1Pwc2gJ7PrrT3o.jpg
64061,풍선껌,풍선껌,"드라마 풍선껌은 결핍을 가진 사람들이 마침내 그 틈을 채워 완전해지는 이야기가 아니다.

그들은 그렇게 각자의 빈틈을 품은 채 함게 있어 조금 더 행복해졌다는 어른들의 동화가 될 것이다.",2015-10-26,ko,KR,26.7717,6.4,8,"181,074,910,751",/zqZFhZGKqJshz0tPuMTzttlxw6G.jpg,/yyN84xcaFiGdVejki1aun8JqBLg.jpg
61148,기황후,기황후,"사랑하는 님과 조국을 떠나 온 고려 귀족 출신의 젊은 여성이 사랑과 전쟁, 정치, 충성을 통해 역경을 헤치고 중국 원나라의 막강한 황후가 되기까지의 과정을 그린 드라마.",2013-10-28,ko,KR,39.8604,7.28,59,"1,810,768",/o8RiEBqQ7VnDqxvfg5WA1GcFHUi.jpg,/pefCiIoIrWglxwpoqIdnhL0IlGZ.jpg
219246,폭싹 속았수다,폭싹 속았수다,"당차고 야무진 소녀와 우직하고 헌신적인 소년. 제주 바닷가 작은 마을에서 한 뼘씩 자라온 두 사람의 인생은 어디로 향할까. 넘어지고 좌절해도 다시 일어서며, 세월을 뛰어넘어 피어나는 사랑 이야기.",2025-03-07,ko,KR,50.8796,8.693,329,18,/koMkV9qm0PEZHDmX5dRpBpMH1FY.jpg,/5yk3QwnQxzwKfhU1tlDkV2PSIBz.jpg
86542,막돼먹은 영애씨,막돼먹은 영애씨,격동에 휘말린 영애의 회사를 중심으로 대형 사고들이 쏟아지며 침체된 경기와 팍팍한 직장생활에 초점을 맞춘 좌충우돌 이야기,2007-04-20,ko,KR,52.3956,0,0,35,/czIb8j2yO2F5shxtJCLLGEdx4qw.jpg,/zP0F1GMdi91HmXCxyN4ps6dtSUu.jpg
5707,X맨,X맨,"SBS에서 2003년 11월 8일부터 2007년 4월 8일까지 방영했던 실제상황 토요일과 일요일이 좋다의 전 코너이며, 총 178회 방영되었다.",2003-11-08,ko,KR,50.8699,7.2,5,"3,510,767",/lqxp7BHGvTcrwU5WZr4FuDCvNNS.jpg,
73048,SNL 코리아,SNL 코리아,"한국 코미디의 계속되는 진화, 오감을 자극하는 감성 코미디로 돌아왔다. 더 솔직하게! 더 유쾌하게! 뭘 좀 아는 어른들의 생방송 코미디쇼. 미국 코미디쇼 SNL의 한국판 프로그램.",2011-12-03,ko,KR,52.0906,8.2,5,35,/1feD9WnGOU19juCw79fACNmG7n4.jpg,/6IRDbHm8eKNLDfPyAVyEzhLZgCn.jpg
34960,슈퍼스타 K,슈퍼스타 K,Mnet의 대국민 공개 오디션 프로그램,2009-07-24,ko,KR,30.3544,0,0,,/3hSyhYRettcDOQrY3jPlceLcUMo.jpg,
